COG20_FUNCTION,enrichment_score,unadjusted_p_value,adjusted_q_value,associated_groups,accession,gene_clusters_ids,p_Other,p_Sourdough,N_Other,N_Sourdough
"BadF-type ATPase, related to human N-acetylglucosamine kinase (BadF) (PUBMED:17954692;12761179;12761179)",4.634782403,0.031330117,0.258185148,Sourdough,COG2971,"GC_00002394, GC_00002503, GC_00003507, GC_00007945, GC_00009743, GC_00011611",0.7188,0.931,32,29
Nitric oxide reductase large subunit (NorB) (PDB:3WFC),4.634782403,0.031330117,0.258185148,Other,COG3256,GC_00002999,0.2812,0.069,32,29
Tryptophan-rich sensory protein TspO/CrtK (mitochondrial benzodiazepine receptor homolog) (TspO) (PDB:2MGY),4.634782403,0.031330117,0.258185148,Other,COG3476,"GC_00004431, GC_00011212",0.2812,0.069,32,29
DNA replication protein DnaC (DnaC) (PDB:2QGZ),4.634782403,0.031330117,0.258185148,Other,COG1484,GC_00002478,0.2812,0.069,32,29
Mannosyltransferase related to Gpi18,4.634782403,0.031330117,0.258185148,Other,COG5542,"GC_00005690, GC_00008080, GC_00008987, GC_00010304, GC_00011311",0.2812,0.069,32,29
Ribulose kinase (AraB) (PDB:3QDK),4.634782403,0.031330117,0.258185148,Other,COG1069,GC_00003305,0.2812,0.069,32,29
"Uncharacterized conserved protein YhaN, contains AAA domain (YhaN)",4.634782403,0.031330117,0.258185148,Other,COG4717,"GC_00004579, GC_00010224",0.2812,0.069,32,29
"GAF domain-containing protein, putative methionine-R-sulfoxide reductase (MsrC) (PDB:1F5M)",4.624323751,0.031521685,0.258185148,Other,COG1956,GC_00001707,0.75,0.4828,32,29
N-terminal domain of uncharacterized protein YciW (function unknown) (YciW1),4.623922522,0.031529058,0.258185148,Sourdough,COG4950,"GC_00008517, GC_00009587, GC_00009590",0.0312,0.2069,32,29
Methyl-accepting chemotaxis protein (MCP) (Tar) (PDB:1QU7)!!!HAMP domain (HAMP),4.623922522,0.031529058,0.258185148,Sourdough,COG0840!!!COG2770,GC_00004936,0.0312,0.2069,32,29
"Predicted restriction endonuclease, HNH family (PDB:6GHC)",4.623922522,0.031529058,0.258185148,Sourdough,COG3183,"GC_00007577, GC_00009694, GC_00010692",0.0312,0.2069,32,29
"Regulation of enolase protein 1 (function unknown), concanavalin A-like superfamily (Ree1) (PDB:3MEP)",4.623922522,0.031529058,0.258185148,Sourdough,COG3506,GC_00003441,0.0312,0.2069,32,29
"Limonene-1,2-epoxide hydrolase LimA/EphG (LimA) (PDB:1NU3)",4.623922522,0.031529058,0.258185148,Sourdough,COG4308,GC_00005236,0.0312,0.2069,32,29
Arginine/lysine/ornithine decarboxylase (LdcC) (PDB:1C4K),4.623922522,0.031529058,0.258185148,Sourdough,COG1982,GC_00005191,0.0312,0.2069,32,29
"DNA-binding transcriptional regulator, FrmR family (FrmR) (PDB:2HH7)",4.623922522,0.031529058,0.258185148,Other,COG1937,"GC_00001365, GC_00001978, GC_00002544, GC_00004838",0.9688,0.7931,32,29
Cobalamin biosynthesis protein CbiD (cobalt-precorrin-5B C-methyltransferase) (CbiD) (PDB:1SR8),4.622243582,0.031559932,0.258185148,Sourdough,COG1903,GC_00001675,0.5312,0.7931,32,29
"Predicted RNA-binding protein, contains PUA-like EVE domain (PDB:1WMM)",4.622243582,0.031559932,0.258185148,Other,COG1673,GC_00001862,0.4688,0.2069,32,29
"Type IV secretory pathway, VirB10 component (VirB10) (PDB:2BHV)",4.619404458,0.031612212,0.258185148,Other,COG2948,"GC_00001811, GC_00003671, GC_00005000, GC_00006934, GC_00007526, GC_00008436",0.6875,0.4138,32,29
"ABC-type sulfate transport system, permease component (CysU) (PDB:3D31)",4.533836425,0.033231041,0.26029092,Sourdough,COG0555,GC_00001043,0.7812,0.9655,32,29
"ABC-type nitrate/sulfonate/bicarbonate transport system, permease component (TauC)",4.533836425,0.033231041,0.26029092,Sourdough,COG0600,"GC_00001087, GC_00002011, GC_00002614, GC_00004041, GC_00005020, GC_00005029, GC_00005344, GC_00007051, GC_00007243",0.7812,0.9655,32,29
"ABC-type nitrate/sulfonate/bicarbonate transport system, periplasmic component (TauA) (PDB:2X26)",4.533836425,0.033231041,0.26029092,Sourdough,COG0715,"GC_00001029, GC_00001562, GC_00002308, GC_00002630, GC_00003398, GC_00003648, GC_00004609, GC_00004973, GC_00005017, GC_00005018, GC_00005047, GC_00005270, GC_00005325, GC_00006238, GC_00006292, GC_00006349, GC_00006640, GC_00006888, GC_00007153, GC_00007196, GC_00007264, GC_00007831, GC_00009641, GC_00010714",0.7812,0.9655,32,29
"ABC-type sulfate transport system, permease component (CysW)",4.533836425,0.033231041,0.26029092,Sourdough,COG4208,GC_00001049,0.7812,0.9655,32,29
"ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component (TauB)",4.533836425,0.033231041,0.26029092,Sourdough,COG1116,"GC_00001129, GC_00001971, GC_00002639, GC_00004305, GC_00004358, GC_00005005, GC_00005150, GC_00006488, GC_00007976",0.7812,0.9655,32,29
"ABC-type histidine transport system, ATPase component (HisP) (PDB:1B0U)",4.533836425,0.033231041,0.26029092,Other,COG4598,GC_00004918,0.2188,0.0345,32,29
"Aryl-phospho-beta-D-glucosidase BglC, GH1 family (BglC)",4.533836425,0.033231041,0.26029092,Other,COG2730,"GC_00005806, GC_00011063, GC_00011075",0.2188,0.0345,32,29
DNA topoisomerase IB (Top1) (PDB:1A31),4.533836425,0.033231041,0.26029092,Other,COG3569,GC_00003356,0.2188,0.0345,32,29
"ABC-type arginine transport system, permease component (ArtQ)",4.533836425,0.033231041,0.26029092,Other,COG4215,GC_00004791,0.2188,0.0345,32,29
"DNA-binding response regulator, FixJ family, consists of REC and HTH domains (FixJ) (PDB:1YIO)",4.533836425,0.033231041,0.26029092,Other,COG4566,GC_00004983,0.2188,0.0345,32,29
"ABC-type arginine/histidine transport system, permease component (ArtM)",4.533836425,0.033231041,0.26029092,Other,COG4160,GC_00004959,0.2188,0.0345,32,29
"NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase (FadH2) (PDB:1VRQ)!!!Bacterioferritin-associated ferredoxin (Bfd) (PDB:6E6R)",4.533836425,0.033231041,0.26029092,Other,COG0446!!!COG2906,GC_00004923,0.2188,0.0345,32,29
Type II secretory pathway ATPase GspE/PulE or T4P pilus assembly pathway ATPase PilB (PulE) (PDB:4KSR),4.420020875,0.035519602,0.277270361,Other,COG2804,"GC_00004702, GC_00006544, GC_00006832",0.375,0.1379,32,29
"Phosphoglycerol transferase MdoB/OpgB, AlkP superfamily (MdoB) (PDB:3LXQ)",4.331306809,0.037417508,0.289135288,Other,COG1368,"GC_00004641, GC_00005540, GC_00008587, GC_00008808, GC_00009747, GC_00011130",0.5,0.2414,32,29
Uncharacterized membrane protein YeiH (YadS) (PDB:5WUC),4.331306809,0.037417508,0.289135288,Other,COG2860,GC_00002118,0.5,0.2414,32,29
"L-ascorbate lactonase UlaG, metallo-beta-lactamase superfamily (UlaG) (PDB:2WYM)",4.331306809,0.037417508,0.289135288,Other,COG2220,"GC_00004582, GC_00005629, GC_00005755, GC_00009359",0.5,0.2414,32,29
Cu/Zn superoxide dismutase (SodC) (PDB:1ESO),4.156474073,0.041475658,0.317288784,Other,COG2032,GC_00001409,0.875,0.6552,32,29
Transposase InsE and inactivated derivatives (InsE) (PDB:2JN6) (PUBMED:23818957),4.156474073,0.041475658,0.317288784,Other,COG2963,"GC_00001063, GC_00001319, GC_00002215, GC_00002477, GC_00002986, GC_00005392, GC_00008147",0.875,0.6552,32,29
"Sugar isomerase-related protein YecE, UPF0759/DUF72 family (YecE) (PDB:1VPQ)",4.156474073,0.041475658,0.317288784,Sourdough,COG1801,GC_00002635,0.125,0.3448,32,29
Glycosyltransferase involved in cell wall bisynthesis (RfaB) (PDB:2IV7)!!!Glycosyltransferase involved in cell wall bisynthesis (WcaA) (PDB:5MLZ),3.998102706,0.045551513,0.342672957,Sourdough,COG0438!!!COG0463,"GC_00001952, GC_00002644, GC_00003072, GC_00004843, GC_00007593, GC_00008358, GC_00011657",0.5938,0.8276,32,29
"Bacteriocin, linocin/CFP29 family (CFP29) (PDB:2E0Z)",3.998102706,0.045551513,0.342672957,Sourdough,COG1659,GC_00001611,0.5938,0.8276,32,29
"RNA:NAD 2'-phosphotransferase, TPT1/KptA family (KptA) (PDB:1WFX)",3.966761433,0.046406945,0.342672957,Other,COG1859,"GC_00003210, GC_00009652",0.3125,0.1034,32,29
FMN-dependent NADH-azoreductase (AzoR) (PDB:1TIK),3.966761433,0.046406945,0.342672957,Other,COG1182,"GC_00003465, GC_00007869",0.3125,0.1034,32,29
2-keto-3-deoxy-6-phosphogluconate aldolase (Eda) (PDB:2V81),3.966761433,0.046406945,0.342672957,Other,COG0800,"GC_00003532, GC_00008635",0.3125,0.1034,32,29
Superfamily I DNA and/or RNA helicase (DNA2) (PDB:2GJK),3.966761433,0.046406945,0.342672957,Other,COG1112,"GC_00004435, GC_00010187, GC_00011685",0.3125,0.1034,32,29
Beta-galactosidase GanA (GanA) (PDB:1KWG),3.91361198,0.047896552,0.342672957,Sourdough,COG1874,"GC_00002880, GC_00007460",0.1562,0.3793,32,29
Glutamate synthase domain 3 (GltB3) (PDB:1EA0),3.879387555,0.048882386,0.342672957,Other,COG0070,GC_00007068,0.125,0,32,29
"Intracellular sulfur oxidation protein, DsrE/DsrF family (PDB:1L1S) (PUBMED:9695921)",3.879387555,0.048882386,0.342672957,Other,COG1416,GC_00006546,0.125,0,32,29
"Uncharacterized conserved protein, DUF2336 family",3.879387555,0.048882386,0.342672957,Other,COG5330,GC_00007091,0.125,0,32,29
Glutamate synthase domain 1 (GltB1) (PDB:1EA0),3.879387555,0.048882386,0.342672957,Other,COG0067,GC_00007205,0.125,0,32,29
DNA repair exonuclease SbcCD ATPase subunit (SbcC) (PDB:3QKR)!!!TPR repeat (TPR) (PDB:1KLX),3.879387555,0.048882386,0.342672957,Other,COG0419!!!COG0790,GC_00007257,0.125,0,32,29
"Glycine cleavage system protein T (aminomethyltransferase) (GcvT) (PDB:2GAH) (PUBMED:25433025;25505271)!!!Uncharacterized conserved protein YcgI, DUF1989 family (YcgI) (PDB:3DI4)",3.879387555,0.048882386,0.342672957,Other,COG0404!!!COG3665,GC_00007234,0.125,0,32,29
"NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase (FadH2) (PDB:1VRQ)!!!2,4-dienoyl-CoA reductase or related NADH-dependent reductase, Old Yellow Enzyme (OYE) family (FadH) (PDB:1BWK)",3.879387555,0.048882386,0.342672957,Other,COG0446!!!COG1902,GC_00007171,0.125,0,32,29
"Accessory colonization factor AcfC, contains ABC-type periplasmic domain (AcfC) (PDB:4JB7)",3.879387555,0.048882386,0.342672957,Other,COG4588,GC_00006551,0.125,0,32,29
Glycosyltransferase involved in cell wall bisynthesis (RfaB) (PDB:2IV7)!!!Glycosyltransferase involved in cell wall bisynthesis (WcaA) (PDB:5MLZ)!!!Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG (UbiE) (PDB:4OBW)!!!RNA methyltransferase activator Trm112/YbaR (Trm112) (PDB:2KPI) (PUBMED:27986851;30010922),3.879387555,0.048882386,0.342672957,Other,COG0438!!!COG0463!!!COG2226!!!COG2835,"GC_00010434, GC_00011011",0.125,0,32,29
"GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants (GGDEF) (PDB:6D9M)!!!Periplasmic ligand-binding sensor domain (PDB:4A2L)",3.879387555,0.048882386,0.342672957,Other,COG2199!!!COG3292,"GC_00008280, GC_00010365",0.125,0,32,29
Carotenoid cleavage dioxygenase or a related enzyme (PDB:2BIW),3.879387555,0.048882386,0.342672957,Other,COG3670,GC_00007164,0.125,0,32,29
Protein involved in initiation of plasmid replication (PDB:2Z9O),3.879387555,0.048882386,0.342672957,Other,COG5527,"GC_00006085, GC_00009554",0.125,0,32,29
Glutamate synthase domain 2 (GltB2) (PDB:1EA0),3.879387555,0.048882386,0.342672957,Other,COG0069,"GC_00007265, GC_00010416",0.125,0,32,29
"Predicted glycosyl hydrolase, GH43/DUF377 family (PDB:1VKD)",3.879387555,0.048882386,0.342672957,Other,COG2152,GC_00007104,0.125,0,32,29
Aspartate oxidase (NadB) (PDB:1KNP),3.879387555,0.048882386,0.342672957,Other,COG0029,"GC_00010009, GC_00010398, GC_00010619",0.125,0,32,29
Sarcosine oxidase gamma subunit (SoxG),3.879387555,0.048882386,0.342672957,Other,COG4583,"GC_00007202, GC_00010554, GC_00011302",0.125,0,32,29
Phosphoheptose isomerase (GmhA) (PDB:1G76),3.879387555,0.048882386,0.342672957,Other,COG0279,GC_00007199,0.125,0,32,29
Ribonuclease PH (Rph) (PDB:1UDO),3.879387555,0.048882386,0.342672957,Sourdough,COG0689,GC_00000970,0.875,1,32,29
Threonine/homoserine efflux transporter RhtA (RhtA),3.879387555,0.048882386,0.342672957,Sourdough,COG5006,"GC_00001577, GC_00003973, GC_00009799, GC_00011652",0.875,1,32,29
Copper(I)-binding protein (PDB:1X9L),3.879387555,0.048882386,0.342672957,Sourdough,COG2847,"GC_00002354, GC_00003845, GC_00004121, GC_00004175, GC_00005328, GC_00010447, GC_00011710",0.875,1,32,29
AraC-type DNA-binding domain and AraC-containing proteins (AraC) (PDB:1BL0)!!!DNA gyrase inhibitor GyrI/SbmC (SbmC) (PDB:1JYH),3.871113415,0.049123923,0.342672957,Sourdough,COG2207!!!COG3449,GC_00003687,0.0625,0.2414,32,29
"Phage-related protein, predicted endonuclease",3.871113415,0.049123923,0.342672957,Sourdough,COG5377,"GC_00005351, GC_00007878",0.0625,0.2414,32,29
"Uncharacterized conserved protein, DUF1800 family",3.782051487,0.051805108,0.34607588,Other,COG5267,"GC_00001938, GC_00008315",0.5938,0.3448,32,29
"Uncharacterized conserved protein, DUF1501 family",3.782051487,0.051805108,0.34607588,Other,COG4102,"GC_00002005, GC_00007996",0.5938,0.3448,32,29
"ABC-type methionine transport system, ATPase component (AbcC) (PDB:6CVL)",3.782051487,0.051805108,0.34607588,Sourdough,COG1135,GC_00001838,0.4062,0.6552,32,29
"ABC-type methionine transport system, permease component (MetP) (PDB:6CVL)",3.782051487,0.051805108,0.34607588,Sourdough,COG2011,GC_00001835,0.4062,0.6552,32,29
"ABC-type metal ion transport system, periplasmic component/surface antigen (NlpA) (PDB:1P99)",3.782051487,0.051805108,0.34607588,Sourdough,COG1464,GC_00001834,0.4062,0.6552,32,29
Maltooligosyltrehalose synthase (TreY),3.745442778,0.052951696,0.34607588,Sourdough,COG3280,"GC_00002994, GC_00008083, GC_00008704",0.1875,0.4138,32,29
"ABC-type hemin transport system, periplasmic component (ChuT) (PDB:3MD9)",3.674557398,0.055248921,0.34607588,Sourdough,COG4558,"GC_00001956, GC_00007519",0.375,0.6207,32,29
Lipopolysaccharide biosynthesis protein (RgpF),3.670975246,0.055367778,0.34607588,Sourdough,COG3754,"GC_00001998, GC_00005003, GC_00006984, GC_00011393",0.5625,0.7931,32,29
Cell pole-organizing protein PopZ (PopZ),3.670975246,0.055367778,0.34607588,Sourdough,COG3827,"GC_00002206, GC_00003235, GC_00004621",0.5625,0.7931,32,29
Type II secretory pathway component GspD/PulD (secretin) (PulD) (PDB:5TCQ),3.670975246,0.055367778,0.34607588,Other,COG1450,"GC_00005006, GC_00006184, GC_00006324, GC_00006990",0.4375,0.2069,32,29
ATP:corrinoid adenosyltransferase (BtuR) (PDB:4HUT),3.63607743,0.056539997,0.34607588,Sourdough,COG2109,GC_00001260,0.75,0.931,32,29
"Peptidoglycan/xylan/chitin deacetylase, PgdA/NodB/CDA1 family (CDA1) (PDB:1NY1)",3.63607743,0.056539997,0.34607588,Sourdough,COG0726,"GC_00001348, GC_00004903, GC_00009441",0.75,0.931,32,29
NADH:ubiquinone oxidoreductase subunit 2 (chain N) (NuoN) (PDB:4HE8),3.63607743,0.056539997,0.34607588,Sourdough,COG1007,"GC_00001207, GC_00005405",0.75,0.931,32,29
"Membrane H+-translocase/NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit (NuoL) (PDB:3RKO)",3.63607743,0.056539997,0.34607588,Sourdough,COG1009,"GC_00001259, GC_00005352",0.75,0.931,32,29
"Zn-dependent carboxypeptidase, M32 family (YpwA) (PDB:1K9X)",3.63607743,0.056539997,0.34607588,Sourdough,COG2317,GC_00001061,0.75,0.931,32,29
NADH:ubiquinone oxidoreductase subunit 1 (chain H) (NuoH) (PDB:6HUM),3.63607743,0.056539997,0.34607588,Sourdough,COG1005,"GC_00001198, GC_00005354",0.75,0.931,32,29
Lysophospholipase L1 or related esterase. Includes spore coat protein LipC/YcsK (TesA) (PDB:1BWP),3.63607743,0.056539997,0.34607588,Sourdough,COG2755,"GC_00001549, GC_00002592, GC_00002719, GC_00005279, GC_00008636, GC_00009015",0.75,0.931,32,29
"Cobalamin biosynthesis protein CobN, Mg-chelatase (CobN) (PDB:4ZHJ)",3.63607743,0.056539997,0.34607588,Sourdough,COG1429,"GC_00001595, GC_00005434",0.75,0.931,32,29
Molybdopterin synthase sulfur carrier subunit MoaD (MoaD) (PDB:1FM0) (PUBMED:32239579),3.63607743,0.056539997,0.34607588,Sourdough,COG1977,"GC_00001375, GC_00007454",0.75,0.931,32,29
"NADH:ubiquinone oxidoreductase, NADH-binding 51 kD subunit (chain F) (NuoF) (PDB:2FUG)",3.63607743,0.056539997,0.34607588,Sourdough,COG1894,"GC_00001228, GC_00005465",0.75,0.931,32,29
NADH:ubiquinone oxidoreductase subunit 11 or 4L (chain K) (NuoK) (PDB:4HE8),3.63607743,0.056539997,0.34607588,Sourdough,COG0713,"GC_00001189, GC_00005460",0.75,0.931,32,29
Cobyric acid synthase (CobQ),3.63607743,0.056539997,0.34607588,Sourdough,COG1492,"GC_00001246, GC_00006248",0.75,0.931,32,29
Acyl-CoA hydrolase (YciA) (PDB:5DM5),3.63607743,0.056539997,0.34607588,Sourdough,COG1607,"GC_00000769, GC_00002953",0.75,0.931,32,29
NADH:ubiquinone oxidoreductase subunit 6 (chain J) (NuoJ) (PDB:4HE8),3.63607743,0.056539997,0.34607588,Sourdough,COG0839,"GC_00001229, GC_00005389",0.75,0.931,32,29
Predicted metal-binding protein,3.63607743,0.056539997,0.34607588,Sourdough,COG5469,"GC_00001594, GC_00004729",0.75,0.931,32,29
Succinate-acetate transporter SatP (SatP) (PDB:5YS3) (PUBMED:23844911),3.63607743,0.056539997,0.34607588,Sourdough,COG1584,GC_00001215,0.75,0.931,32,29
NADH:ubiquinone oxidoreductase 49 kD subunit (chain D) (NuoD) (PDB:2FUG),3.63607743,0.056539997,0.34607588,Sourdough,COG0649,GC_00001218,0.75,0.931,32,29
Adenosyl cobinamide kinase/adenosyl cobinamide phosphate guanylyltransferase (CobU) (PDB:1C9K),3.63607743,0.056539997,0.34607588,Sourdough,COG2087,GC_00001244,0.75,0.931,32,29
"DNA polymerase III, delta prime subunit (HolB) (PDB:1A5T)",3.63607743,0.056539997,0.34607588,Sourdough,COG0470,"GC_00001252, GC_00009223",0.75,0.931,32,29
"Outer membrane lipoprotein LpoA, binds and activates PBP1a (LpoA) (PDB:2MHK) (PUBMED:21183074)",3.63607743,0.056539997,0.34607588,Sourdough,COG3107,"GC_00001557, GC_00006333, GC_00010377",0.75,0.931,32,29
"SAM-dependent methyltransferase, MidA family (MidA) (PDB:1ZKD)",3.63607743,0.056539997,0.34607588,Sourdough,COG1565,"GC_00001521, GC_00005949",0.75,0.931,32,29
NADH:ubiquinone oxidoreductase 20 kD subunit (chain B) or related Fe-S oxidoreductase (NuoB) (PDB:2FUG) (PUBMED:25941396),3.63607743,0.056539997,0.34607588,Sourdough,COG0377,"GC_00001186, GC_00005446",0.75,0.931,32,29
"Cobyrinic acid a,c-diamide synthase (CobB)",3.63607743,0.056539997,0.34607588,Sourdough,COG1797,"GC_00001602, GC_00005331",0.75,0.931,32,29
NaMN:DMB phosphoribosyltransferase (CobT) (PDB:1D0S),3.63607743,0.056539997,0.34607588,Sourdough,COG2038,GC_00001249,0.75,0.931,32,29
Soluble lytic murein transglycosylase or regulatory protein s ( may contain LysM/invasin domain) (MltE) (PDB:153L)!!!Cell division protein FtsN (FtsN) (PDB:1UTA),3.63607743,0.056539997,0.34607588,Sourdough,COG0741!!!COG3087,"GC_00001486, GC_00006487",0.75,0.931,32,29
"Succinate dehydrogenase flavin-adding protein, antitoxin component of the CptAB toxin-antitoxin module (SdhE) (PDB:1PUZ)",3.63607743,0.056539997,0.34607588,Sourdough,COG2938,GC_00001200,0.75,0.931,32,29
NADH:ubiquinone oxidoreductase 27 kD subunit (chain C) (NuoC),3.63607743,0.056539997,0.34607588,Sourdough,COG0852,GC_00001235,0.75,0.931,32,29
Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I) (NuoI) (PDB:1B0P),3.63607743,0.056539997,0.34607588,Sourdough,COG1143,"GC_00001192, GC_00005160",0.75,0.931,32,29
NADH:ubiquinone oxidoreductase 24 kD subunit (chain E) (NuoE) (PDB:5XF9),3.63607743,0.056539997,0.34607588,Sourdough,COG1905,"GC_00001232, GC_00005458",0.75,0.931,32,29
Cobalamin biosynthesis protein CobD/CbiB (CbiB),3.63607743,0.056539997,0.34607588,Sourdough,COG1270,"GC_00001599, GC_00007163, GC_00007723",0.75,0.931,32,29
Predicted secreted acid phosphatase (PDB:3OCY),3.63607743,0.056539997,0.34607588,Other,COG2503,GC_00003490,0.25,0.069,32,29
Sugar (pentulose or hexulose) kinase (XylB) (PDB:4C23),3.63607743,0.056539997,0.34607588,Other,COG1070,"GC_00005414, GC_00007009",0.25,0.069,32,29
"Flp pilus assembly ATPase CpaE/TadZ, contains N-terminal REC/TadZ_N domain (CpaE) (PDB:4LDA)",3.63607743,0.056539997,0.34607588,Other,COG4963,"GC_00006169, GC_00007585, GC_00009567",0.25,0.069,32,29
Fructose/tagatose bisphosphate aldolase (Fba) (PDB:1B57),3.63607743,0.056539997,0.34607588,Other,COG0191,GC_00003482,0.25,0.069,32,29
Glycogen synthase (GlgA) (PDB:1RZU),3.63583163,0.056548346,0.34607588,Sourdough,COG0297,"GC_00002453, GC_00008629",0.2188,0.4483,32,29
"1,4-alpha-glucan branching enzyme (GlgB) (PDB:4LPC) (PUBMED:25871919)",3.63583163,0.056548346,0.34607588,Sourdough,COG0296,"GC_00002304, GC_00003360, GC_00005228, GC_00008579",0.2188,0.4483,32,29
5-oxoprolinase subunit B/Allophanate hydrolase subunit 1 (PxpB) (PDB:2KWA) (PUBMED:28830929),3.559285555,0.059213219,0.352412136,Sourdough,COG2049,"GC_00002197, GC_00007022, GC_00009775",0.3125,0.5517,32,29
5-oxoprolinase subunit A (PxpA) (PDB:1V6T) (PUBMED:28830929),3.559285555,0.059213219,0.352412136,Sourdough,COG1540,"GC_00002183, GC_00005457",0.3125,0.5517,32,29
5-oxoprolinase subunit C/Allophanate hydrolase subunit 2 (PxpC) (PDB:3MML) (PUBMED:28830929),3.559285555,0.059213219,0.352412136,Sourdough,COG1984,"GC_00002189, GC_00005441",0.3125,0.5517,32,29
Dipeptide/tripeptide permease (PTR2) (PDB:2XUT),3.550640134,0.059522483,0.352412136,Other,COG3104,"GC_00001946, GC_00002920, GC_00003968, GC_00004207",0.7188,0.4828,32,29
"Uncharacterized conserved protein YjlB, cupin superfamily (YjlB)",3.505609259,0.061161346,0.352412136,Other,COG4297,"GC_00006245, GC_00009681",0.1875,0.0345,32,29
Signal transduction histidine kinase regulating C4-dicarboxylate transport system (PDB:4GCZ),3.505609259,0.061161346,0.352412136,Other,COG4191,GC_00005276,0.1875,0.0345,32,29
Prepilin signal peptidase PulO (type II secretory pathway) or related peptidase (PulO),3.505609259,0.061161346,0.352412136,Other,COG1989,"GC_00007226, GC_00008543",0.1875,0.0345,32,29
"ABC-type iron transport system FetAB, permease component (FetB) (PUBMED:24038693)",3.505609259,0.061161346,0.352412136,Other,COG0390,GC_00005428,0.1875,0.0345,32,29
Precorrin-6B methylase 2 (CobL) (PDB:1F38),3.505609259,0.061161346,0.352412136,Other,COG2242,"GC_00007699, GC_00008036, GC_00009526, GC_00009630",0.1875,0.0345,32,29
"Predicted acetyltransferase, GNAT superfamily (YidJ) (PDB:1R57)",3.505609259,0.061161346,0.352412136,Other,COG2388,"GC_00008110, GC_00010016, GC_00010868",0.1875,0.0345,32,29
"Type II secretory pathway, component PulK (PulK) (PDB:5VTM)",3.505609259,0.061161346,0.352412136,Other,COG3156,"GC_00007182, GC_00008129",0.1875,0.0345,32,29
"Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG (PucG) (PDB:3NNK)",3.505609259,0.061161346,0.352412136,Sourdough,COG0075,GC_00000978,0.8125,0.9655,32,29
"Fermentation-respiration switch esterase FrsA, DUF1100 family (FrsA)",3.47986432,0.062119833,0.352412136,Sourdough,COG1073,GC_00007591,0,0.1034,32,29
"1,2-phenylacetyl-CoA epoxidase, PaaB subunit (PaaB) (PDB:3EGR)",3.47986432,0.062119833,0.352412136,Sourdough,COG3460,GC_00007667,0,0.1034,32,29
"Phenylacetate-coenzyme A ligase PaaK, adenylate-forming domain family (PaaK) (PDB:2Y4O)",3.47986432,0.062119833,0.352412136,Sourdough,COG1541,GC_00008352,0,0.1034,32,29
Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase (AdhE) (PDB:1A4S)!!!Acyl-CoA dehydratase PaaZ (MaoC) (PDB:5ZY8),3.47986432,0.062119833,0.352412136,Sourdough,COG1012!!!COG2030,GC_00007957,0,0.1034,32,29
DNA-binding transcriptional regulator PaaX (phenylacetic acid degradation) (PaaX),3.47986432,0.062119833,0.352412136,Sourdough,COG3327,GC_00008087,0,0.1034,32,29
"Uncharacterized membrane protein YhaH, DUF805 family (yhaH)",3.47986432,0.062119833,0.352412136,Sourdough,COG3152,GC_00007651,0,0.1034,32,29
Predicted ATPase,3.47986432,0.062119833,0.352412136,Sourdough,COG3910,GC_00008414,0,0.1034,32,29
"Uncharacterized protein YkgJ, contains CxxCxxCC motif (YkgJ)",3.47986432,0.062119833,0.352412136,Sourdough,COG0727,GC_00007612,0,0.1034,32,29
"1,2-phenylacetyl-CoA epoxidase, catalytic subunit (YdbO) (PDB:1OTK)",3.47986432,0.062119833,0.352412136,Sourdough,COG3396,"GC_00008240, GC_00008408",0,0.1034,32,29
cAMP phosphodiesterase (PDE1) (PDB:4OJV),3.47986432,0.062119833,0.352412136,Sourdough,COG5212,GC_00008205,0,0.1034,32,29
Transposase (InsQ),3.47986432,0.062119833,0.352412136,Sourdough,COG0675,"GC_00009259, GC_00009367",0,0.1034,32,29
"DNA-binding transcriptional regulator, MarR family (MarR) (PDB:1JGS)!!!Predicted acetyltransferase, GNAT family",3.47986432,0.062119833,0.352412136,Sourdough,COG1846!!!COG3393,GC_00008282,0,0.1034,32,29
"Glycosyltransferase involved in cell wall bisynthesis (WcaA) (PDB:5MLZ)!!!Glycosyltransferase involved in LPS biosynthesis, GR25 family",3.47986432,0.062119833,0.352412136,Sourdough,COG0463!!!COG3306,GC_00007571,0,0.1034,32,29
"Peptidoglycan/LPS O-acetylase OafA/YrhL, contains acyltransferase and SGNH-hydrolase domains (OafA)",3.47986432,0.062119833,0.352412136,Other,COG1835,"GC_00002527, GC_00002833, GC_00003020, GC_00003416, GC_00003537, GC_00004336, GC_00004407, GC_00004734, GC_00006794, GC_00007023, GC_00007285, GC_00007997, GC_00008578, GC_00008711, GC_00008778, GC_00010140, GC_00010643, GC_00010759, GC_00011085, GC_00011314, GC_00011443",1,0.8966,32,29
